"","","","","","","","","","","","","","","","","","","","","","","","",""
"Pour chacune de ces affirmations, sélectionnez l'option qui reflète le mieux votre ressenti à propos de cette unité d'enseignement ","","","","","","","","","","","","","","","","J'ai eu des difficultés à comprendre les sujets suivants","","","","","","","",""
"Les attentes et les objectifs sont clairement définis","La structure du cours sur GitHub est cohérente, facile d'accès et permet de retrouver rapidement les informations que je cherche","Les contenus (supports, présentations, consignes, énoncés, etc.) sont pertinents et me permettent de travailler de façon autonome","Lorsque j’ai rencontré des difficultés, j’ai pu trouver des réponses à mes questions (grâce aux discussions en classe, aux supports de cours, etc.)","Les présentations orales sont pertinentes et permettent de mieux comprendre la matière","J'apprécie la durée courte des parties théoriques au début de chaque cours","Les contenus pratiques (exercices) de chaque cours sont pertinents et adaptés à mon niveau","J'ai réalisé tous les contenus pratiques (exercices) proposés","Le temps nécessaire pour réaliser les contenus pratiques (exercices) était correct","Le travail pratique (labo) est motivant et permet d'appliquer les concepts vus en cours","Le temps nécessaire pour réaliser le travail pratique (labo) était correct","L'unité d'enseignement est variée, motivante et permet de ne pas m'ennuyer","Les éléments appris me seront utiles dans ma formation et pour mon futur","L'unité d'enseignement est","Le rythme de l'unité d'enseignement est","Les contenus pratiques sont","Docker and Docker Compose","SMTP and ncat","Define an application protocol","Java TCP and UDP programming","Java network concurrency","Je n'ai pas eu de difficultés particulières","J'ai moins apprécié et je propose...","J'ai particulièrement apprécié...","Autres remarques et commentaires"
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Adaptée","Adapté","Adaptés","","","","","X","","Tout est bien !","Les travaux pratiques sont motivant par le fait qu'on aie le choix du sujet mais que la structure soit fixée.
",""
"Tout à fait d'accord ★★★★","Sans avis / ne me concerne pas","Tout à fait d'accord ★★★★","Sans avis / ne me concerne pas","Tout à fait d'accord ★★★★","Sans avis / ne me concerne pas","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Sans avis / ne me concerne pas","Sans avis / ne me concerne pas","Sans avis / ne me concerne pas","Tout à fait d'accord ★★★★","Adaptée","Adapté","Adaptés","X","","","","X","","Plus d'explications sur Docker","",""
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Adaptée","Adapté","Adaptés","X","","","","","","","",""
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Adaptée","Adapté","Adaptés","X","","","","","","","",""
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas du tout d'accord ★☆☆☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Trop théorique","Adapté","Adaptés","","","","","","X","Pas fan de la théorie mais elle est pas trop longue donc c'est ok","Avoir le choix pour les laboratoires est toujours bien","Continuez comme ça :)"
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Adaptée","Adapté","Adaptés","","","","","","X","","Tout",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Adaptée","Adapté","Adaptés","","","","","","X","Je propose de mettre en place surtout pour docker un petit tableau résumé des options pour le fun le build etc... ","Le projet libre est beaucoup plus complet et agréable à travailler à plusieurs dessus (rôles beaucoup plus définit)",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Adaptée","Adapté","Adaptés","","","X","","","","","",""
"Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Adaptée","Adapté","Adaptés","X","","","","","","Amener la notion de concurrence aussi tard dans cycle de vie du Practical Work 2.","Me casser la tête à trouver 
1) Dans un premier temps un moyen de diffuser des informations spécifiques à des clients en UDP (ce qui n'a pas nécessaire après avoir découvert la concurrence)
2) un moyen de gérer deux socket tcp en même temps sur un même client (ce qui a été nécessaire pour le Practical work, mais je ne me rappelle plus si le cours parlait de la possibilité de le faire.)","J'aime bien DAI. J'aurais aimé avoir plus de temps pour explorer certains sujets mais je suis surchargé par tout ce qu'il y a en dehors des cours."
"Tout à fait d'accord ★★★★","Plutôt pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Adaptée","Adapté","Trop simples","","","","","","X","on a vu la concurrence en java un peu tard, ce qui nous a laissé avec 2 semaines pour finir la partie la plus lourde du pw2","choix libre de pw, attentes claires avec la grille d'evaluation, contenu qui est vraiment utile dans mon futur metier",""
