J'ai moins apprécié et je propose...,J'ai particulièrement apprécié...,Le cours est,Le rythme du cours est,Les exercices pratiques sont,J'ai l'impression d'avoir appris des éléments qui me seront utiles dans ma formation et pour mon futur,Autres remarques et commentaires
,"Temps pour le contenu pratique, application directe de la théorie succincte.",Adapté,Adapté,Adaptés,Plutôt oui,
,,Adapté,Adapté,Adaptés,Plutôt oui,
,De pouvoir travailler seule sur la théorie,Adapté,Adapté,Adaptés,Plutôt oui,
-,L'aspect orienté pratique,Adapté,Adapté,Adaptés,Plutôt oui,
"Serait-il possible de fournir (à valeur d'exemple), des questions type de chaque test ?",L'approche très pratique du cours et la réduction du temps du cours magistral.,Adapté,Trop rapide,Adaptés,Plutôt oui,
Le contenu du cours en anglais et lourd à lire et demande plus d'énergie à comprendre,Le peu de théorie et la possibilité d’expérimenter directement,Adapté,Adapté,Adaptés,Oui,
Jusqu'à présent pas grand chose qui me dérange,Le premier labo était une bonne introduction à Java et le temps pour le réaliser était très correct aussi.,Adapté,Adapté,Adaptés,Oui,
"Par moment, on peut se retrouver un peu submergé par toutes ces nouvelles informations. Cela peut être positif car cela nous met dans des conditions de la vraie vie et ce que l'on peut retrouver au travail. Mais pour des personnes en plein temps, cela peut s'avérer un peu rapide et complexe. (Je suis en emploi donc pour moi cela allait)","Le fait de d'avoir aller chercher la plupart des informations par nous-même. Savoir lire de la doc, expérimenter ce que l'on trouve et se questionner sur ce que l'on fait sont des très bonnes pratiques à avoir pour un ingénieur et j'apprécie pouvoir travailler sur ce point qui j'en suis sûr seront importants dans ma carrière d'ingénieur. De plus, je trouve que le fait de créer des outils (CLI) qui pourront nous être utile est une très bonne chose également.
Pour finir, j'ai l'impression d'apprendre de vrai choses dans ce cours qui me seront utiles et votre façon de voir ce cours est intéressante et probablement plus adapté pour l'apprentissage d'un ingénieur.",Adapté,Adapté,Adaptés,Oui,"J'ai que les exercices et le rythme du cours était adapté. Au début, j'étais un peu submergé et j'ai commencé à prendre un peu de retard mais j'ai pu le rattraper. Comme dit dans mon premier point, cela peut s'avérer complexe pour des gens qui n'ont pas d'expérience professionnel mais cela reste malgré tout intéressant car j'avais l'impression de travailler comme je pourrai le faire en emploi."
"Même si j'ai beaucoup apprécié l'utilisation de Git, le fait d'avoir de multiple sources d'informations et de messages (Teams, mail, Git, Cyberlearn) rend la communication plus difficile pour moi qui s'ajoutent à celles du travail et personnelles.","Les sujets abordés sont très utiles en tant que développeur, et un sujet aussi important que Git devrait être enseignée dés le premier ou second semestre.
La liberté et la méthode d'enseignement pousse à apprendre aussi par soi-même et à se renseigner. 
Avoir accès à tous les supports et informations sur git était un gros plus.",Adapté,Adapté,Adaptés,Oui,
Un peu le sentiment qu'on voit pas beaucoup de théorie mais c'est peut-être juste le cours de base.,"L'utilisation de Github et de plateforme assez récente, c'est assez cool!",Adapté,Adapté,Adaptés,Oui,
"Au niveau des leçons sur Github, j’ai un peu du mal à bien me plonger dedans. Je pense que je serai plus à l’aise avec des PDF (ou un Git peut-être mieux présenté) qui vont étape par étape mais c’est subjectif.

Une deuxième chose ce serait d’avoir un corrigé à disposition pour la pratique. Par exemple pour l’exercice sur l’écriture et la lecture des fichiers binaires / textes, j’aurai apprécié avec un corrigé pour comparer ce que j’ai fais et savoir si j’ai bien tout utilisé",Qu’on ne soit pas submergé de théorie et avoir beaucoup de pratique,Adapté,Adapté,Adaptés,Plutôt oui,"Je suis très content de faire bcp de pratique et peu de théorie, cependant ça m’inquiète un petit peu pour les TE (qui pourraient être trop théorique du coups) mais surtout pour l’examen.

Puisque les autres classes voient tout ça de manière + théorique, j’ai peur que ça nous porte préjudice à l’examen."
Peut-être un peut perdu lors des périodes de pratique mais avec l'aide de mes camarades cela est vite résolu.,"La pratique permet vraiment d'apprendre et de comprendre, cela marche vraiment bien surtout avec les labos.",Adapté,Adapté,Trop complexes,Oui,
"Mettre le lien directe vers le Feedback en plus du QRcode, ça évite de scanner le QRcode avec le téléphone et s'envoyer le lien.",L'esprit tuto.,Adapté,Adapté,Adaptés,Oui,
,"On nous laisse le temps de comprendre le sujet à notre rythme.
Nos remarques sont pris en compte.
Les enseignants sont proactive et améliore le cours sans pour autant qu'il ait eu de commentaire.",Adapté,Adapté,Adaptés,Plutôt oui,
,"Le fait de nous laisser à nous de découvrir les choses par nous même et que les labos aient un vrai lien avec le cours car dans certains cours les labos sont un peu disjoints du cours théorique, ce qui représente double travail. Ici, c'est impeccable. Le travail fourni pour le labo est un travail en moins pour les tests",Adapté,Adapté,Adaptés,Oui,
